Município;Sigla UF;Região;Mês/Ano;Vítima
Caraúbas Do Piauí;PI;NORDESTE;jul-18;1
Caridade Do Piauí;PI;NORDESTE;jul-18;0
Castelo Do Piauí;PI;NORDESTE;jul-18;0
Caxingó;PI;NORDESTE;jul-18;0
Cocal;PI;NORDESTE;jul-18;1
Cocal De Telha;PI;NORDESTE;jul-18;0
Cocal Dos Alves;PI;NORDESTE;jul-18;0
Coivaras;PI;NORDESTE;jul-18;0
Colônia Do Gurguéia;PI;NORDESTE;jul-18;0
Colônia Do Piauí;PI;NORDESTE;jul-18;0
Conceição Do Canindé;PI;NORDESTE;jul-18;0
Coronel José Dias;PI;NORDESTE;jul-18;0
Corrente;PI;NORDESTE;jul-18;1
Cristalândia Do Piauí;PI;NORDESTE;jul-18;0
Cristino Castro;PI;NORDESTE;jul-18;0
Curimatá;PI;NORDESTE;jul-18;0
Currais;PI;NORDESTE;jul-18;0
Curralinhos;PI;NORDESTE;jul-18;0
Curral Novo Do Piauí;PI;NORDESTE;jul-18;0
Demerval Lobão;PI;NORDESTE;jul-18;0
Dirceu Arcoverde;PI;NORDESTE;jul-18;0
Dom Expedito Lopes;PI;NORDESTE;jul-18;0
Domingos Mourão;PI;NORDESTE;jul-18;0
Dom Inocêncio;PI;NORDESTE;jul-18;0
Elesbão Veloso;PI;NORDESTE;jul-18;0
Eliseu Martins;PI;NORDESTE;jul-18;0
Esperantina;PI;NORDESTE;jul-18;0
Fartura Do Piauí;PI;NORDESTE;jul-18;0
Flores Do Piauí;PI;NORDESTE;jul-18;0
Floresta Do Piauí;PI;NORDESTE;jul-18;0
Floriano;PI;NORDESTE;jul-18;1
Francinópolis;PI;NORDESTE;jul-18;0
Francisco Ayres;PI;NORDESTE;jul-18;0
Francisco Macedo;PI;NORDESTE;jul-18;0
Francisco Santos;PI;NORDESTE;jul-18;0
Fronteiras;PI;NORDESTE;jul-18;1
Geminiano;PI;NORDESTE;jul-18;0
Gilbués;PI;NORDESTE;jul-18;0
Guadalupe;PI;NORDESTE;jul-18;0
Guaribas;PI;NORDESTE;jul-18;0
Hugo Napoleão;PI;NORDESTE;jul-18;0
Ilha Grande;PI;NORDESTE;jul-18;0
Inhuma;PI;NORDESTE;jul-18;0
Ipiranga Do Piauí;PI;NORDESTE;jul-18;0
Isaías Coelho;PI;NORDESTE;jul-18;0
Itainópolis;PI;NORDESTE;jul-18;0
Itaueira;PI;NORDESTE;jul-18;0
Jacobina Do Piauí;PI;NORDESTE;jul-18;0
Jaicós;PI;NORDESTE;jul-18;0
Jardim Do Mulato;PI;NORDESTE;jul-18;0
Jatobá Do Piauí;PI;NORDESTE;jul-18;0
Jerumenha;PI;NORDESTE;jul-18;0
João Costa;PI;NORDESTE;jul-18;0
Joaquim Pires;PI;NORDESTE;jul-18;0
Joca Marques;PI;NORDESTE;jul-18;0
José De Freitas;PI;NORDESTE;jul-18;1
Juazeiro Do Piauí;PI;NORDESTE;jul-18;0
Júlio Borges;PI;NORDESTE;jul-18;0
Jurema;PI;NORDESTE;jul-18;0
Lagoinha Do Piauí;PI;NORDESTE;jul-18;0
Lagoa Alegre;PI;NORDESTE;jul-18;0
Lagoa Do Barro Do Piauí;PI;NORDESTE;jul-18;0
Lagoa De São Francisco;PI;NORDESTE;jul-18;0
Lagoa Do Piauí;PI;NORDESTE;jul-18;0
Lagoa Do Sítio;PI;NORDESTE;jul-18;0
Landri Sales;PI;NORDESTE;jul-18;0
Luís Correia;PI;NORDESTE;jul-18;0
Luzilândia;PI;NORDESTE;jul-18;0
Madeiro;PI;NORDESTE;jul-18;1
Manoel Emídio;PI;NORDESTE;jul-18;0
Marcolândia;PI;NORDESTE;jul-18;0
Marcos Parente;PI;NORDESTE;jul-18;0
Massapê Do Piauí;PI;NORDESTE;jul-18;0
Matias Olímpio;PI;NORDESTE;jul-18;0
Miguel Alves;PI;NORDESTE;jul-18;0
Miguel Leão;PI;NORDESTE;jul-18;0
Milton Brandão;PI;NORDESTE;jul-18;0
Monsenhor Gil;PI;NORDESTE;jul-18;0
Monsenhor Hipólito;PI;NORDESTE;jul-18;0
Monte Alegre Do Piauí;PI;NORDESTE;jul-18;0
Morro Cabeça No Tempo;PI;NORDESTE;jul-18;0
Morro Do Chapéu Do Piauí;PI;NORDESTE;jul-18;0
Murici Dos Portelas;PI;NORDESTE;jul-18;0
Nazaré Do Piauí;PI;NORDESTE;jul-18;0
Nazária;PI;NORDESTE;jul-18;1
Nossa Senhora De Nazaré;PI;NORDESTE;jul-18;0
Nossa Senhora Dos Remédios;PI;NORDESTE;jul-18;0
Novo Oriente Do Piauí;PI;NORDESTE;jul-18;0
Novo Santo Antônio;PI;NORDESTE;jul-18;0
Oeiras;PI;NORDESTE;jul-18;0
Olho D'Água Do Piauí;PI;NORDESTE;jul-18;0
Padre Marcos;PI;NORDESTE;jul-18;0
Paes Landim;PI;NORDESTE;jul-18;0
Pajeú Do Piauí;PI;NORDESTE;jul-18;0
Palmeira Do Piauí;PI;NORDESTE;jul-18;0
Palmeirais;PI;NORDESTE;jul-18;0
Paquetá;PI;NORDESTE;jul-18;0
Parnaguá;PI;NORDESTE;jul-18;0
Parnaíba;PI;NORDESTE;jul-18;1
Passagem Franca Do Piauí;PI;NORDESTE;jul-18;0
Patos Do Piauí;PI;NORDESTE;jul-18;0
Pau D'Arco Do Piauí;PI;NORDESTE;jul-18;0
Paulistana;PI;NORDESTE;jul-18;0
Pavussu;PI;NORDESTE;jul-18;0
Pedro Ii;PI;NORDESTE;jul-18;1
Pedro Laurentino;PI;NORDESTE;jul-18;0
Nova Santa Rita;PI;NORDESTE;jul-18;0
Picos;PI;NORDESTE;jul-18;0
Pimenteiras;PI;NORDESTE;jul-18;0
Pio Ix;PI;NORDESTE;jul-18;1
Piracuruca;PI;NORDESTE;jul-18;1
Piripiri;PI;NORDESTE;jul-18;1
Porto;PI;NORDESTE;jul-18;0
Porto Alegre Do Piauí;PI;NORDESTE;jul-18;0
Prata Do Piauí;PI;NORDESTE;jul-18;0
Queimada Nova;PI;NORDESTE;jul-18;0
Redenção Do Gurguéia;PI;NORDESTE;jul-18;0
Regeneração;PI;NORDESTE;jul-18;0
Riacho Frio;PI;NORDESTE;jul-18;0
Ribeira Do Piauí;PI;NORDESTE;jul-18;0
Ribeiro Gonçalves;PI;NORDESTE;jul-18;0
Rio Grande Do Piauí;PI;NORDESTE;jul-18;0
Santa Cruz Do Piauí;PI;NORDESTE;jul-18;0
Santa Cruz Dos Milagres;PI;NORDESTE;jul-18;0
Santa Filomena;PI;NORDESTE;jul-18;0
Santa Luz;PI;NORDESTE;jul-18;0
Santana Do Piauí;PI;NORDESTE;jul-18;0
Santa Rosa Do Piauí;PI;NORDESTE;jul-18;0
Santo Antônio De Lisboa;PI;NORDESTE;jul-18;0
Santo Antônio Dos Milagres;PI;NORDESTE;jul-18;0
Santo Inácio Do Piauí;PI;NORDESTE;jul-18;0
São Braz Do Piauí;PI;NORDESTE;jul-18;0
São Félix Do Piauí;PI;NORDESTE;jul-18;0
São Francisco De Assis Do Piauí;PI;NORDESTE;jul-18;0
São Francisco Do Piauí;PI;NORDESTE;jul-18;0
São Gonçalo Do Gurguéia;PI;NORDESTE;jul-18;0
São Gonçalo Do Piauí;PI;NORDESTE;jul-18;0
São João Da Canabrava;PI;NORDESTE;jul-18;0
São João Da Fronteira;PI;NORDESTE;jul-18;0
São João Da Serra;PI;NORDESTE;jul-18;0
São João Da Varjota;PI;NORDESTE;jul-18;0
São João Do Arraial;PI;NORDESTE;jul-18;0
São João Do Piauí;PI;NORDESTE;jul-18;0
São José Do Divino;PI;NORDESTE;jul-18;0
São José Do Peixe;PI;NORDESTE;jul-18;0
São José Do Piauí;PI;NORDESTE;jul-18;0
São Julião;PI;NORDESTE;jul-18;0
São Lourenço Do Piauí;PI;NORDESTE;jul-18;0
São Luis Do Piauí;PI;NORDESTE;jul-18;0
São Miguel Da Baixa Grande;PI;NORDESTE;jul-18;0
São Miguel Do Fidalgo;PI;NORDESTE;jul-18;0
São Miguel Do Tapuio;PI;NORDESTE;jul-18;0
São Pedro Do Piauí;PI;NORDESTE;jul-18;0
São Raimundo Nonato;PI;NORDESTE;jul-18;1
Sebastião Barros;PI;NORDESTE;jul-18;0
Sebastião Leal;PI;NORDESTE;jul-18;0
Sigefredo Pacheco;PI;NORDESTE;jul-18;0
Simões;PI;NORDESTE;jul-18;0
Simplício Mendes;PI;NORDESTE;jul-18;0
Socorro Do Piauí;PI;NORDESTE;jul-18;0
Sussuapara;PI;NORDESTE;jul-18;0
Tamboril Do Piauí;PI;NORDESTE;jul-18;0
Tanque Do Piauí;PI;NORDESTE;jul-18;0
Teresina;PI;NORDESTE;jul-18;24
União;PI;NORDESTE;jul-18;0
Uruçuí;PI;NORDESTE;jul-18;0
Valença Do Piauí;PI;NORDESTE;jul-18;0
Várzea Branca;PI;NORDESTE;jul-18;0
Várzea Grande;PI;NORDESTE;jul-18;0
Vera Mendes;PI;NORDESTE;jul-18;0
Vila Nova Do Piauí;PI;NORDESTE;jul-18;0
Wall Ferraz;PI;NORDESTE;jul-18;0
Acauã;PI;NORDESTE;ago-18;0
Agricolândia;PI;NORDESTE;ago-18;0
Água Branca;PI;NORDESTE;ago-18;1
Alagoinha Do Piauí;PI;NORDESTE;ago-18;0
Alegrete Do Piauí;PI;NORDESTE;ago-18;2
Alto Longá;PI;NORDESTE;ago-18;0
Altos;PI;NORDESTE;ago-18;0
Alvorada Do Gurguéia;PI;NORDESTE;ago-18;0
Amarante;PI;NORDESTE;ago-18;0
Angical Do Piauí;PI;NORDESTE;ago-18;0
Anísio De Abreu;PI;NORDESTE;ago-18;0
Antônio Almeida;PI;NORDESTE;ago-18;0
Aroazes;PI;NORDESTE;ago-18;0
Aroeiras Do Itaim;PI;NORDESTE;ago-18;0
Arraial;PI;NORDESTE;ago-18;0
Assunção Do Piauí;PI;NORDESTE;ago-18;0
Avelino Lopes;PI;NORDESTE;ago-18;0
Baixa Grande Do Ribeiro;PI;NORDESTE;ago-18;0
Barra D'Alcântara;PI;NORDESTE;ago-18;0
Barras;PI;NORDESTE;ago-18;2
Barreiras Do Piauí;PI;NORDESTE;ago-18;0
Barro Duro;PI;NORDESTE;ago-18;0
Batalha;PI;NORDESTE;ago-18;0
Bela Vista Do Piauí;PI;NORDESTE;ago-18;0
Belém Do Piauí;PI;NORDESTE;ago-18;0
Beneditinos;PI;NORDESTE;ago-18;0
Bertolínia;PI;NORDESTE;ago-18;0
Betânia Do Piauí;PI;NORDESTE;ago-18;0
Boa Hora;PI;NORDESTE;ago-18;0
Bocaina;PI;NORDESTE;ago-18;0
Bom Jesus;PI;NORDESTE;ago-18;0
Bom Princípio Do Piauí;PI;NORDESTE;ago-18;0
Bonfim Do Piauí;PI;NORDESTE;ago-18;0
Boqueirão Do Piauí;PI;NORDESTE;ago-18;0
Brasileira;PI;NORDESTE;ago-18;0
Brejo Do Piauí;PI;NORDESTE;ago-18;0
Buriti Dos Lopes;PI;NORDESTE;ago-18;0
Buriti Dos Montes;PI;NORDESTE;ago-18;0
Cabeceiras Do Piauí;PI;NORDESTE;ago-18;0
Cajazeiras Do Piauí;PI;NORDESTE;ago-18;0
Cajueiro Da Praia;PI;NORDESTE;ago-18;0
Caldeirão Grande Do Piauí;PI;NORDESTE;ago-18;0
Campinas Do Piauí;PI;NORDESTE;ago-18;0
Campo Alegre Do Fidalgo;PI;NORDESTE;ago-18;0
Campo Grande Do Piauí;PI;NORDESTE;ago-18;0
Campo Largo Do Piauí;PI;NORDESTE;ago-18;0
Campo Maior;PI;NORDESTE;ago-18;2
Canavieira;PI;NORDESTE;ago-18;0
Canto Do Buriti;PI;NORDESTE;ago-18;0
Capitão De Campos;PI;NORDESTE;ago-18;0
Capitão Gervásio Oliveira;PI;NORDESTE;ago-18;0
Caracol;PI;NORDESTE;ago-18;0
Caraúbas Do Piauí;PI;NORDESTE;ago-18;1
Caridade Do Piauí;PI;NORDESTE;ago-18;0
Castelo Do Piauí;PI;NORDESTE;ago-18;0
Caxingó;PI;NORDESTE;ago-18;0
Cocal;PI;NORDESTE;ago-18;1
Cocal De Telha;PI;NORDESTE;ago-18;0
Cocal Dos Alves;PI;NORDESTE;ago-18;0
Coivaras;PI;NORDESTE;ago-18;0
Colônia Do Gurguéia;PI;NORDESTE;ago-18;0
Colônia Do Piauí;PI;NORDESTE;ago-18;0
Conceição Do Canindé;PI;NORDESTE;ago-18;0
Coronel José Dias;PI;NORDESTE;ago-18;0
Corrente;PI;NORDESTE;ago-18;0
Cristalândia Do Piauí;PI;NORDESTE;ago-18;0
Cristino Castro;PI;NORDESTE;ago-18;0
Curimatá;PI;NORDESTE;ago-18;0
Currais;PI;NORDESTE;ago-18;0
Curralinhos;PI;NORDESTE;ago-18;0
Curral Novo Do Piauí;PI;NORDESTE;ago-18;0
Demerval Lobão;PI;NORDESTE;ago-18;1
Dirceu Arcoverde;PI;NORDESTE;ago-18;0
Dom Expedito Lopes;PI;NORDESTE;ago-18;0
Domingos Mourão;PI;NORDESTE;ago-18;0
Dom Inocêncio;PI;NORDESTE;ago-18;0
Elesbão Veloso;PI;NORDESTE;ago-18;0
Eliseu Martins;PI;NORDESTE;ago-18;0
Esperantina;PI;NORDESTE;ago-18;0
Fartura Do Piauí;PI;NORDESTE;ago-18;0
Flores Do Piauí;PI;NORDESTE;ago-18;0
Floresta Do Piauí;PI;NORDESTE;ago-18;0
Floriano;PI;NORDESTE;ago-18;1
Francinópolis;PI;NORDESTE;ago-18;0
Francisco Ayres;PI;NORDESTE;ago-18;0
Francisco Macedo;PI;NORDESTE;ago-18;0
Francisco Santos;PI;NORDESTE;ago-18;0
Fronteiras;PI;NORDESTE;ago-18;0
Geminiano;PI;NORDESTE;ago-18;0
Gilbués;PI;NORDESTE;ago-18;0
Guadalupe;PI;NORDESTE;ago-18;0
Guaribas;PI;NORDESTE;ago-18;0
Hugo Napoleão;PI;NORDESTE;ago-18;0
Ilha Grande;PI;NORDESTE;ago-18;0
Inhuma;PI;NORDESTE;ago-18;1
Ipiranga Do Piauí;PI;NORDESTE;ago-18;0
Isaías Coelho;PI;NORDESTE;ago-18;0
Itainópolis;PI;NORDESTE;ago-18;1
Itaueira;PI;NORDESTE;ago-18;0
Jacobina Do Piauí;PI;NORDESTE;ago-18;0
Jaicós;PI;NORDESTE;ago-18;0
Jardim Do Mulato;PI;NORDESTE;ago-18;0
Jatobá Do Piauí;PI;NORDESTE;ago-18;0
Jerumenha;PI;NORDESTE;ago-18;0
João Costa;PI;NORDESTE;ago-18;0
Joaquim Pires;PI;NORDESTE;ago-18;0
Joca Marques;PI;NORDESTE;ago-18;0
José De Freitas;PI;NORDESTE;ago-18;0
Juazeiro Do Piauí;PI;NORDESTE;ago-18;0
Júlio Borges;PI;NORDESTE;ago-18;0
Jurema;PI;NORDESTE;ago-18;0
Lagoinha Do Piauí;PI;NORDESTE;ago-18;0
Lagoa Alegre;PI;NORDESTE;ago-18;0
Lagoa Do Barro Do Piauí;PI;NORDESTE;ago-18;0
Lagoa De São Francisco;PI;NORDESTE;ago-18;0
Lagoa Do Piauí;PI;NORDESTE;ago-18;0
Lagoa Do Sítio;PI;NORDESTE;ago-18;1
Landri Sales;PI;NORDESTE;ago-18;1
Luís Correia;PI;NORDESTE;ago-18;0
Luzilândia;PI;NORDESTE;ago-18;0
Madeiro;PI;NORDESTE;ago-18;0
Manoel Emídio;PI;NORDESTE;ago-18;0
Marcolândia;PI;NORDESTE;ago-18;0
Marcos Parente;PI;NORDESTE;ago-18;0
Massapê Do Piauí;PI;NORDESTE;ago-18;0
Matias Olímpio;PI;NORDESTE;ago-18;0
Miguel Alves;PI;NORDESTE;ago-18;0
Miguel Leão;PI;NORDESTE;ago-18;0
Milton Brandão;PI;NORDESTE;ago-18;0
Monsenhor Gil;PI;NORDESTE;ago-18;0
Monsenhor Hipólito;PI;NORDESTE;ago-18;0
Monte Alegre Do Piauí;PI;NORDESTE;ago-18;0
Morro Cabeça No Tempo;PI;NORDESTE;ago-18;0
Morro Do Chapéu Do Piauí;PI;NORDESTE;ago-18;0
Murici Dos Portelas;PI;NORDESTE;ago-18;1
Nazaré Do Piauí;PI;NORDESTE;ago-18;0
Nazária;PI;NORDESTE;ago-18;0
Nossa Senhora De Nazaré;PI;NORDESTE;ago-18;0
Nossa Senhora Dos Remédios;PI;NORDESTE;ago-18;0
Novo Oriente Do Piauí;PI;NORDESTE;ago-18;0
Novo Santo Antônio;PI;NORDESTE;ago-18;0
Oeiras;PI;NORDESTE;ago-18;0
Olho D'Água Do Piauí;PI;NORDESTE;ago-18;0
Padre Marcos;PI;NORDESTE;ago-18;0
Paes Landim;PI;NORDESTE;ago-18;0
Pajeú Do Piauí;PI;NORDESTE;ago-18;0
Palmeira Do Piauí;PI;NORDESTE;ago-18;0
Palmeirais;PI;NORDESTE;ago-18;0
Paquetá;PI;NORDESTE;ago-18;0
Parnaguá;PI;NORDESTE;ago-18;1
Parnaíba;PI;NORDESTE;ago-18;1
Passagem Franca Do Piauí;PI;NORDESTE;ago-18;0
Patos Do Piauí;PI;NORDESTE;ago-18;0
Pau D'Arco Do Piauí;PI;NORDESTE;ago-18;0
Paulistana;PI;NORDESTE;ago-18;0
Pavussu;PI;NORDESTE;ago-18;0
Pedro Ii;PI;NORDESTE;ago-18;1
Pedro Laurentino;PI;NORDESTE;ago-18;0
Nova Santa Rita;PI;NORDESTE;ago-18;0
Picos;PI;NORDESTE;ago-18;2
Pimenteiras;PI;NORDESTE;ago-18;0
Pio Ix;PI;NORDESTE;ago-18;1
Piracuruca;PI;NORDESTE;ago-18;0
Piripiri;PI;NORDESTE;ago-18;1
Porto;PI;NORDESTE;ago-18;0
Porto Alegre Do Piauí;PI;NORDESTE;ago-18;0
Prata Do Piauí;PI;NORDESTE;ago-18;0
Queimada Nova;PI;NORDESTE;ago-18;0
Redenção Do Gurguéia;PI;NORDESTE;ago-18;0
Regeneração;PI;NORDESTE;ago-18;0
Riacho Frio;PI;NORDESTE;ago-18;0
Ribeira Do Piauí;PI;NORDESTE;ago-18;0
Ribeiro Gonçalves;PI;NORDESTE;ago-18;0
Rio Grande Do Piauí;PI;NORDESTE;ago-18;0
Santa Cruz Do Piauí;PI;NORDESTE;ago-18;0
Santa Cruz Dos Milagres;PI;NORDESTE;ago-18;0
Santa Filomena;PI;NORDESTE;ago-18;0
Santa Luz;PI;NORDESTE;ago-18;0
Santana Do Piauí;PI;NORDESTE;ago-18;0
Santa Rosa Do Piauí;PI;NORDESTE;ago-18;0
Santo Antônio De Lisboa;PI;NORDESTE;ago-18;0
Santo Antônio Dos Milagres;PI;NORDESTE;ago-18;0
Santo Inácio Do Piauí;PI;NORDESTE;ago-18;0
São Braz Do Piauí;PI;NORDESTE;ago-18;0
São Félix Do Piauí;PI;NORDESTE;ago-18;0
São Francisco De Assis Do Piauí;PI;NORDESTE;ago-18;0
São Francisco Do Piauí;PI;NORDESTE;ago-18;0
São Gonçalo Do Gurguéia;PI;NORDESTE;ago-18;0
São Gonçalo Do Piauí;PI;NORDESTE;ago-18;0
São João Da Canabrava;PI;NORDESTE;ago-18;0
São João Da Fronteira;PI;NORDESTE;ago-18;0
São João Da Serra;PI;NORDESTE;ago-18;0
São João Da Varjota;PI;NORDESTE;ago-18;0
São João Do Arraial;PI;NORDESTE;ago-18;0
São João Do Piauí;PI;NORDESTE;ago-18;0
São José Do Divino;PI;NORDESTE;ago-18;0
São José Do Peixe;PI;NORDESTE;ago-18;0
São José Do Piauí;PI;NORDESTE;ago-18;0
São Julião;PI;NORDESTE;ago-18;0
São Lourenço Do Piauí;PI;NORDESTE;ago-18;0
São Luis Do Piauí;PI;NORDESTE;ago-18;0
São Miguel Da Baixa Grande;PI;NORDESTE;ago-18;0
São Miguel Do Fidalgo;PI;NORDESTE;ago-18;0
São Miguel Do Tapuio;PI;NORDESTE;ago-18;0
São Pedro Do Piauí;PI;NORDESTE;ago-18;0
São Raimundo Nonato;PI;NORDESTE;ago-18;0
Sebastião Barros;PI;NORDESTE;ago-18;0
Sebastião Leal;PI;NORDESTE;ago-18;0
Sigefredo Pacheco;PI;NORDESTE;ago-18;0
Simões;PI;NORDESTE;ago-18;0
Simplício Mendes;PI;NORDESTE;ago-18;0
Socorro Do Piauí;PI;NORDESTE;ago-18;0
Sussuapara;PI;NORDESTE;ago-18;0
Tamboril Do Piauí;PI;NORDESTE;ago-18;0
Tanque Do Piauí;PI;NORDESTE;ago-18;0
Teresina;PI;NORDESTE;ago-18;24
União;PI;NORDESTE;ago-18;0
Uruçuí;PI;NORDESTE;ago-18;0
Valença Do Piauí;PI;NORDESTE;ago-18;0
Várzea Branca;PI;NORDESTE;ago-18;0
Várzea Grande;PI;NORDESTE;ago-18;0
Vera Mendes;PI;NORDESTE;ago-18;0
Vila Nova Do Piauí;PI;NORDESTE;ago-18;0
Wall Ferraz;PI;NORDESTE;ago-18;0
Acauã;PI;NORDESTE;set-18;0
Agricolândia;PI;NORDESTE;set-18;0
Água Branca;PI;NORDESTE;set-18;0
Alagoinha Do Piauí;PI;NORDESTE;set-18;0
Alegrete Do Piauí;PI;NORDESTE;set-18;0
Alto Longá;PI;NORDESTE;set-18;0
Altos;PI;NORDESTE;set-18;0
Alvorada Do Gurguéia;PI;NORDESTE;set-18;0
Amarante;PI;NORDESTE;set-18;0
Angical Do Piauí;PI;NORDESTE;set-18;0
Anísio De Abreu;PI;NORDESTE;set-18;0
Antônio Almeida;PI;NORDESTE;set-18;0
Aroazes;PI;NORDESTE;set-18;0
Aroeiras Do Itaim;PI;NORDESTE;set-18;0
Arraial;PI;NORDESTE;set-18;0
Assunção Do Piauí;PI;NORDESTE;set-18;1
Avelino Lopes;PI;NORDESTE;set-18;0
Baixa Grande Do Ribeiro;PI;NORDESTE;set-18;1
Barra D'Alcântara;PI;NORDESTE;set-18;0
Barras;PI;NORDESTE;set-18;0
Barreiras Do Piauí;PI;NORDESTE;set-18;0
Barro Duro;PI;NORDESTE;set-18;0
Batalha;PI;NORDESTE;set-18;0
Bela Vista Do Piauí;PI;NORDESTE;set-18;0
Belém Do Piauí;PI;NORDESTE;set-18;0
Beneditinos;PI;NORDESTE;set-18;0
Bertolínia;PI;NORDESTE;set-18;0
Betânia Do Piauí;PI;NORDESTE;set-18;0
Boa Hora;PI;NORDESTE;set-18;0
Bocaina;PI;NORDESTE;set-18;0
Bom Jesus;PI;NORDESTE;set-18;0
Bom Princípio Do Piauí;PI;NORDESTE;set-18;0
Bonfim Do Piauí;PI;NORDESTE;set-18;0
Boqueirão Do Piauí;PI;NORDESTE;set-18;0
Brasileira;PI;NORDESTE;set-18;0
Brejo Do Piauí;PI;NORDESTE;set-18;0
Buriti Dos Lopes;PI;NORDESTE;set-18;0
Buriti Dos Montes;PI;NORDESTE;set-18;1
Cabeceiras Do Piauí;PI;NORDESTE;set-18;0
Cajazeiras Do Piauí;PI;NORDESTE;set-18;0
Cajueiro Da Praia;PI;NORDESTE;set-18;0
Caldeirão Grande Do Piauí;PI;NORDESTE;set-18;0
Campinas Do Piauí;PI;NORDESTE;set-18;0
Campo Alegre Do Fidalgo;PI;NORDESTE;set-18;0
Campo Grande Do Piauí;PI;NORDESTE;set-18;0
Campo Largo Do Piauí;PI;NORDESTE;set-18;0
Campo Maior;PI;NORDESTE;set-18;1
Canavieira;PI;NORDESTE;set-18;0
Canto Do Buriti;PI;NORDESTE;set-18;2
Capitão De Campos;PI;NORDESTE;set-18;0
Capitão Gervásio Oliveira;PI;NORDESTE;set-18;0
Caracol;PI;NORDESTE;set-18;0
Caraúbas Do Piauí;PI;NORDESTE;set-18;0
Caridade Do Piauí;PI;NORDESTE;set-18;0
Castelo Do Piauí;PI;NORDESTE;set-18;0
Caxingó;PI;NORDESTE;set-18;0
Cocal;PI;NORDESTE;set-18;0
Cocal De Telha;PI;NORDESTE;set-18;0
Cocal Dos Alves;PI;NORDESTE;set-18;0
Coivaras;PI;NORDESTE;set-18;0
Colônia Do Gurguéia;PI;NORDESTE;set-18;0
Colônia Do Piauí;PI;NORDESTE;set-18;0
Conceição Do Canindé;PI;NORDESTE;set-18;0
Coronel José Dias;PI;NORDESTE;set-18;0
Corrente;PI;NORDESTE;set-18;0
Cristalândia Do Piauí;PI;NORDESTE;set-18;0
Cristino Castro;PI;NORDESTE;set-18;0
Curimatá;PI;NORDESTE;set-18;0
Currais;PI;NORDESTE;set-18;0
Curralinhos;PI;NORDESTE;set-18;0
Curral Novo Do Piauí;PI;NORDESTE;set-18;0
Demerval Lobão;PI;NORDESTE;set-18;0
Dirceu Arcoverde;PI;NORDESTE;set-18;0
Dom Expedito Lopes;PI;NORDESTE;set-18;0
Domingos Mourão;PI;NORDESTE;set-18;0
Dom Inocêncio;PI;NORDESTE;set-18;0
Elesbão Veloso;PI;NORDESTE;set-18;0
Eliseu Martins;PI;NORDESTE;set-18;1
Esperantina;PI;NORDESTE;set-18;1
Fartura Do Piauí;PI;NORDESTE;set-18;0
Flores Do Piauí;PI;NORDESTE;set-18;0
Floresta Do Piauí;PI;NORDESTE;set-18;0
Floriano;PI;NORDESTE;set-18;0
Francinópolis;PI;NORDESTE;set-18;0
Francisco Ayres;PI;NORDESTE;set-18;0
Francisco Macedo;PI;NORDESTE;set-18;0
Francisco Santos;PI;NORDESTE;set-18;0
Fronteiras;PI;NORDESTE;set-18;0
Geminiano;PI;NORDESTE;set-18;0
Gilbués;PI;NORDESTE;set-18;0
Guadalupe;PI;NORDESTE;set-18;0
Guaribas;PI;NORDESTE;set-18;0
Hugo Napoleão;PI;NORDESTE;set-18;0
Ilha Grande;PI;NORDESTE;set-18;0
Inhuma;PI;NORDESTE;set-18;0
Ipiranga Do Piauí;PI;NORDESTE;set-18;0
Isaías Coelho;PI;NORDESTE;set-18;0
Itainópolis;PI;NORDESTE;set-18;0
Itaueira;PI;NORDESTE;set-18;0
Jacobina Do Piauí;PI;NORDESTE;set-18;0
Jaicós;PI;NORDESTE;set-18;0
Jardim Do Mulato;PI;NORDESTE;set-18;0
Jatobá Do Piauí;PI;NORDESTE;set-18;0
Jerumenha;PI;NORDESTE;set-18;0
João Costa;PI;NORDESTE;set-18;0
Joaquim Pires;PI;NORDESTE;set-18;0
Joca Marques;PI;NORDESTE;set-18;0
José De Freitas;PI;NORDESTE;set-18;1
Juazeiro Do Piauí;PI;NORDESTE;set-18;0
Júlio Borges;PI;NORDESTE;set-18;0
Jurema;PI;NORDESTE;set-18;0
Lagoinha Do Piauí;PI;NORDESTE;set-18;0
Lagoa Alegre;PI;NORDESTE;set-18;0
Lagoa Do Barro Do Piauí;PI;NORDESTE;set-18;0
Lagoa De São Francisco;PI;NORDESTE;set-18;1
Lagoa Do Piauí;PI;NORDESTE;set-18;0
Lagoa Do Sítio;PI;NORDESTE;set-18;0
Landri Sales;PI;NORDESTE;set-18;0
Luís Correia;PI;NORDESTE;set-18;0
Luzilândia;PI;NORDESTE;set-18;0
Madeiro;PI;NORDESTE;set-18;0
Manoel Emídio;PI;NORDESTE;set-18;0
Marcolândia;PI;NORDESTE;set-18;0
Marcos Parente;PI;NORDESTE;set-18;0
Massapê Do Piauí;PI;NORDESTE;set-18;0
Matias Olímpio;PI;NORDESTE;set-18;0
Miguel Alves;PI;NORDESTE;set-18;0
Miguel Leão;PI;NORDESTE;set-18;0
Milton Brandão;PI;NORDESTE;set-18;0
Monsenhor Gil;PI;NORDESTE;set-18;0
Monsenhor Hipólito;PI;NORDESTE;set-18;0
Monte Alegre Do Piauí;PI;NORDESTE;set-18;0
Morro Cabeça No Tempo;PI;NORDESTE;set-18;0
Morro Do Chapéu Do Piauí;PI;NORDESTE;set-18;0
